ecosystem,library,test_name,iteration,outcome,leak_probability,samples,elapsed_sec,timestamp
Rust,dalek,dalek::x25519::x25519_hamming_weight_independence,8,INCONCLUSIVE,0.0,0,0,2026-02-05T22:10:54-03:00
Rust,dalek,dalek::x25519::x25519_hamming_weight_independence,9,PASS,0.8,6000,1,2026-02-05T22:10:55-03:00
Rust,dalek,dalek::x25519::x25519_hamming_weight_independence,10,PASS,0.5,6000,1,2026-02-05T22:10:56-03:00
Rust,dalek,dalek::x25519::x25519_multiple_operations_constant_time,1,INCONCLUSIVE,0.0,0,2,2026-02-05T22:10:58-03:00
Rust,dalek,dalek::x25519::x25519_multiple_operations_constant_time,2,INCONCLUSIVE,0.0,0,1,2026-02-05T22:10:59-03:00
Rust,dalek,dalek::x25519::x25519_multiple_operations_constant_time,3,INCONCLUSIVE,0.0,0,1,2026-02-05T22:11:01-03:00
Rust,dalek,dalek::x25519::x25519_multiple_operations_constant_time,4,INCONCLUSIVE,0.0,0,2,2026-02-05T22:11:03-03:00
Rust,dalek,dalek::x25519::x25519_multiple_operations_constant_time,5,INCONCLUSIVE,0.0,0,2,2026-02-05T22:11:05-03:00
Rust,dalek,dalek::x25519::x25519_multiple_operations_constant_time,6,INCONCLUSIVE,0.0,0,2,2026-02-05T22:11:07-03:00
Rust,dalek,dalek::x25519::x25519_multiple_operations_constant_time,7,INCONCLUSIVE,0.0,0,1,2026-02-05T22:11:08-03:00
Rust,dalek,dalek::x25519::x25519_multiple_operations_constant_time,8,PASS,0.4,6000,2,2026-02-05T22:11:10-03:00
Rust,dalek,dalek::x25519::x25519_multiple_operations_constant_time,9,INCONCLUSIVE,0.0,0,2,2026-02-05T22:11:12-03:00
Rust,dalek,dalek::x25519::x25519_multiple_operations_constant_time,10,INCONCLUSIVE,0.0,0,2,2026-02-05T22:11:14-03:00
Rust,dalek,dalek::x25519::x25519_scalar_clamping_constant_time,1,PASS,1.0,6000,0,2026-02-05T22:11:14-03:00
Rust,dalek,dalek::x25519::x25519_scalar_clamping_constant_time,2,PASS,0.2,6000,1,2026-02-05T22:11:15-03:00
Rust,dalek,dalek::x25519::x25519_scalar_clamping_constant_time,3,PASS,0.1,6000,1,2026-02-05T22:11:16-03:00
Rust,dalek,dalek::x25519::x25519_scalar_clamping_constant_time,4,PASS,0.7,6000,1,2026-02-05T22:11:17-03:00
Rust,dalek,dalek::x25519::x25519_scalar_clamping_constant_time,5,PASS,0.4,6000,1,2026-02-05T22:11:18-03:00
Rust,dalek,dalek::x25519::x25519_scalar_clamping_constant_time,6,PASS,0.2,6000,0,2026-02-05T22:11:18-03:00
Rust,dalek,dalek::x25519::x25519_scalar_clamping_constant_time,7,PASS,1.5,6000,1,2026-02-05T22:11:19-03:00
Rust,dalek,dalek::x25519::x25519_scalar_clamping_constant_time,8,PASS,1.5,6000,1,2026-02-05T22:11:20-03:00
Rust,dalek,dalek::x25519::x25519_scalar_clamping_constant_time,9,INCONCLUSIVE,0.0,0,1,2026-02-05T22:11:21-03:00
Rust,dalek,dalek::x25519::x25519_scalar_clamping_constant_time,10,PASS,0.5,6000,1,2026-02-05T22:11:22-03:00
Rust,dalek,dalek::x25519::x25519_scalar_mult_constant_time,1,PASS,0.6,6000,0,2026-02-05T22:11:22-03:00
Rust,dalek,dalek::x25519::x25519_scalar_mult_constant_time,2,PASS,2.0,6000,1,2026-02-05T22:11:23-03:00
Rust,dalek,dalek::x25519::x25519_scalar_mult_constant_time,3,INCONCLUSIVE,0.0,0,1,2026-02-05T22:11:24-03:00
Rust,dalek,dalek::x25519::x25519_scalar_mult_constant_time,4,PASS,4.7,6000,1,2026-02-05T22:11:25-03:00
Rust,dalek,dalek::x25519::x25519_scalar_mult_constant_time,5,PASS,4.5,6000,1,2026-02-05T22:11:26-03:00
